pnum	pname	pgen	parent	child	type_1	type_2
1	Bulbasaur	1		Ivysaur	Grass	Poison
2	Ivysaur	1	Bulbasaur	Venusaur	Grass	Poison
3	Venusaur	1	Ivysaur		Grass	Poison
4	Charmander	1		Charmeleon	Fire	
5	Charmeleon	1	Charmander	Charizard	Fire	
6	Charizard	1	Charmeleon		Fire	Flying
7	Squirtle	1		Wartortle	Water	
8	Wartortle	1	Squirtle	Blastoise	Water	
9	Blastoise	1	Wartortle		Water	
10	Caterpie	1		Metapod	Bug	
11	Metapod	1	Caterpie	Butterfree	Bug	
12	Butterfree	1	Metapod		Bug	Flying
13	Weedle	1		Kakuna	Bug	Poison
14	Kakuna	1	Weedle	Beedrill	Bug	Poison
15	Beedrill	1	Kakuna		Bug	Poison
16	Pidgey	1		Pidgeotto	Normal	Flying
17	Pidgeotto	1	Pidgey	Pidgeot	Normal	Flying
18	Pidgeot	1	Pidgeotto		Normal	Flying
19	Rattata	1		Raticate	Normal	
20	Raticate	1	Rattata		Normal	
21	Spearow	1		Fearow	Normal	Flying
22	Fearow	1	Spearow		Normal	Flying
23	Ekans	1		Arbok	Poison	
24	Arbok	1	Ekans		Poison	
25	Pikachu	1	Pichu	Raichu	Electric	
26	Raichu	1	Pikachu		Electric	
27	Sandshrew	1		Sandslash	Ground	
28	Sandslash	1	Sandshrew		Ground	
29	Nidoran_	1		Nidorina	Poison	
30	Nidorina	1	Nidoran_	Nidoqueen	Poison	
31	Nidoqueen	1	Nidorina		Poison	Ground
32	Nidoran_	1		Nidorino	Poison	
33	Nidorino	1	Nidoran_	Nidoking	Poison	
34	Nidoking	1	Nidorino		Poison	Ground
35	Clefairy	1	Cleffa	Clefable	Fairy	
36	Clefable	1	Clefairy		Fairy	
37	Vulpix	1		Ninetales	Fire	
38	Ninetales	1	Vulpix		Fire	
39	Jigglypuff	1	Igglybuff	Wigglytuff	Normal	Fairy
40	Wigglytuff	1	Jigglypuff		Normal	Fairy
41	Zubat	1		Golbat	Poison	Flying
42	Golbat	1	Zubat	Crobat	Poison	Flying
43	Oddish	1		Gloom	Grass	Poison
44	Gloom	1	Oddish	Vileplume / Bellossom	Grass	Poison
45	Vileplume	1	Gloom		Grass	Poison
46	Paras	1		Parasect	Bug	Grass
47	Parasect	1	Paras		Bug	Grass
48	Venonat	1		Venomoth	Bug	Poison
49	Venomoth	1	Venonat		Bug	Poison
50	Diglett	1		Dugtrio	Ground	
51	Dugtrio	1	Diglett		Ground	
52	Meowth	1		Persian	Normal	
53	Persian	1	Meowth		Normal	
54	Psyduck	1		Golduck	Water	
55	Golduck	1	Psyduck		Water	
56	Mankey	1		Primeape	Fighting	
57	Primeape	1	Mankey		Fighting	
58	Growlithe	1		Arcanine	Fire	
59	Arcanine	1	Growlithe		Fire	
60	Poliwag	1		Poliwhirl	Water	
61	Poliwhirl	1	Poliwag	Poliwrath / Politoed	Water	
62	Poliwrath	1	Poliwhirl		Water	Fighting
63	Abra	1		Kadabra	Psychic	
64	Kadabra	1	Abra	Alakazam	Psychic	
65	Alakazam	1	Kadabra		Psychic	
66	Machop	1		Machoke	Fighting	
67	Machoke	1	Machop	Machamp	Fighting	
68	Machamp	1	Machoke		Fighting	
69	Bellsprout	1		Weepinbell	Grass	Poison
70	Weepinbell	1	Bellsprout	Victreebel	Grass	Poison
71	Victreebel	1	Weepinbell		Grass	Poison
72	Tentacool	1		Tentacruel	Water	Poison
73	Tentacruel	1	Tentacool		Water	Poison
74	Geodude	1		Graveler	Rock	Ground
75	Graveler	1	Geodude	Golem	Rock	Ground
76	Golem	1	Graveler		Rock	Ground
77	Ponyta	1		Rapidash	Fire	
78	Rapidash	1	Ponyta		Fire	
79	Slowpoke	1		Slowbro / Slowking	Water	Psychic
80	Slowbro	1	Slowpoke		Water	Psychic
81	Magnemite	1		Magneton	Electric	Steel
82	Magneton	1	Magnemite	Magnezone	Electric	Steel
83	Farfetch'd	1			Normal	Flying
84	Doduo	1		Dodrio	Normal	Flying
85	Dodrio	1	Doduo		Normal	Flying
86	Seel	1		Dewgong	Water	
87	Dewgong	1	Seel		Water	Ice
88	Grimer	1		Muk	Poison	
89	Muk	1	Grimer		Poison	
90	Shellder	1		Cloyster	Water	
91	Cloyster	1	Shellder		Water	Ice
92	Gastly	1		Haunter	Ghost	Poison
93	Haunter	1	Gastly	Gengar	Ghost	Poison
94	Gengar	1	Haunter		Ghost	Poison
95	Onix	1		Steelix	Rock	Ground
96	Drowzee	1		Hypno	Psychic	
97	Hypno	1	Drowzee		Psychic	
